source,E_MeV,eta_rad,sin2theta12,dm21_eV2,dm21_1e5_eV2,Pee_day,Pee_night,delta_Pee_earth
B8,7.0,0.8,0.24,6.375e-05,6.375,0.29733515463700744,0.2972850796155175,-5.007502148995924e-05
B8,10.0,0.8,0.24,6.375e-05,6.375,0.2617101951100081,0.2713451141472996,0.009634919037291523
B8,12.0,0.8,0.24,6.375e-05,6.375,0.25094329249876735,0.28134474291712047,0.030401450418353126
B8,14.0,0.8,0.24,6.375e-05,6.375,0.24455156927869268,0.2685824602549085,0.02403089097621583
B8,5.0,1.25,0.24,6.375e-05,6.375,0.35188272412943994,0.3589210968282541,0.007038372698814188
B8,7.0,1.25,0.24,6.375e-05,6.375,0.29733515463700744,0.310779590384398,0.01344443574739057
B8,10.0,1.25,0.24,6.375e-05,6.375,0.2617101951100081,0.2663125449198297,0.004602349809821604
B8,12.0,1.25,0.24,6.375e-05,6.375,0.25094329249876735,0.28015269278996413,0.029209400291196785
B8,14.0,1.25,0.24,6.375e-05,6.375,0.24455156927869268,0.25621951041160196,0.011667941132909282
B8,5.0,0.25,0.24,6.5e-05,6.499999999999999,0.3555299552557181,0.3657098509989484,0.010179895743230305
