E_MeV,T_e_MeV,T_max_MeV,dsigma_nue_cm2_per_MeV,dsigma_nux_cm2_per_MeV
13.485828877005348,0.1,13.23508003309814,1.0120215029243992e-44,2.152954111527986e-45
13.485828877005348,0.2,13.23508003309814,1.010588750561348e-44,2.1397460381013047e-45
13.485828877005348,0.30000000000000004,13.23508003309814,1.0091661280385686e-44,2.126639263077341e-45
13.485828877005348,0.4,13.23508003309814,1.0077536353560612e-44,2.1136337864560937e-45
13.485828877005348,0.5,13.23508003309814,1.0063512725138253e-44,2.1007296082375628e-45
13.485828877005348,0.6000000000000001,13.23508003309814,1.0049590395118611e-44,2.0879267284217498e-45
13.485828877005348,0.7000000000000001,13.23508003309814,1.0035769363501687e-44,2.0752251470086534e-45
13.485828877005348,0.8,13.23508003309814,1.0022049630287478e-44,2.0626248639982736e-45
13.485828877005348,0.9,13.23508003309814,1.0008431195475987e-44,2.0501258793906113e-45
13.485828877005348,1.0,13.23508003309814,9.994914059067212e-45,2.0377281931856657e-45
13.485828877005348,1.1,13.23508003309814,9.981498221061154e-45,2.025431805383437e-45
13.485828877005348,1.2000000000000002,13.23508003309814,9.968183681457813e-45,2.0132367159839252e-45
13.485828877005348,1.3,13.23508003309814,9.954970440257191e-45,2.0011429249871303e-45
13.485828877005348,1.4000000000000001,13.23508003309814,9.941858497459286e-45,1.989150432393052e-45
13.485828877005348,1.5,13.23508003309814,9.928847853064095e-45,1.977259238201691e-45
13.485828877005348,1.6,13.23508003309814,9.915938507071623e-45,1.9654693424130467e-45
13.485828877005348,1.7000000000000002,13.23508003309814,9.903130459481866e-45,1.9537807450271202e-45
13.485828877005348,1.8,13.23508003309814,9.890423710294827e-45,1.9421934460439103e-45
13.485828877005348,1.9000000000000001,13.23508003309814,9.877818259510506e-45,1.9307074454634167e-45
13.485828877005348,2.0,13.23508003309814,9.865314107128903e-45,1.9193227432856407e-45
13.485828877005348,2.1,13.23508003309814,9.852911253150012e-45,1.908039339510581e-45
13.485828877005348,2.2,13.23508003309814,9.840609697573842e-45,1.896857234138238e-45
13.485828877005348,2.3000000000000003,13.23508003309814,9.828409440400389e-45,1.885776427168613e-45
