source,E_MeV,spectrum_per_MeV,kind
pp,8.92,0.0,continuum
pp,8.94,0.0,continuum
pp,8.959999999999999,0.0,continuum
pp,8.98,0.0,continuum
pp,9.0,0.0,continuum
pp,9.02,0.0,continuum
pp,9.04,0.0,continuum
pp,9.06,0.0,continuum
pp,9.08,0.0,continuum
pp,9.1,0.0,continuum
pp,9.12,0.0,continuum
pp,9.14,0.0,continuum
pp,9.16,0.0,continuum
pp,9.18,0.0,continuum
pp,9.2,0.0,continuum
pp,9.22,0.0,continuum
pp,9.24,0.0,continuum
pp,9.26,0.0,continuum
pp,9.28,0.0,continuum
pp,9.299999999999999,0.0,continuum
pp,9.32,0.0,continuum
pp,9.34,0.0,continuum
pp,9.36,0.0,continuum
pp,9.379999999999999,0.0,continuum
pp,9.4,0.0,continuum
pp,9.42,0.0,continuum
pp,9.44,0.0,continuum
pp,9.459999999999999,0.0,continuum
pp,9.48,0.0,continuum
pp,9.5,0.0,continuum
pp,9.52,0.0,continuum
pp,9.54,0.0,continuum
pp,9.56,0.0,continuum
pp,9.58,0.0,continuum
pp,9.6,0.0,continuum
pp,9.62,0.0,continuum
pp,9.64,0.0,continuum
pp,9.66,0.0,continuum
pp,9.68,0.0,continuum
pp,9.7,0.0,continuum
pp,9.72,0.0,continuum
pp,9.74,0.0,continuum
pp,9.76,0.0,continuum
pp,9.78,0.0,continuum
pp,9.799999999999999,0.0,continuum
pp,9.82,0.0,continuum
pp,9.84,0.0,continuum
pp,9.86,0.0,continuum
pp,9.879999999999999,0.0,continuum
pp,9.9,0.0,continuum
pp,9.92,0.0,continuum
pp,9.94,0.0,continuum
pp,9.959999999999999,0.0,continuum
pp,9.98,0.0,continuum
pp,10.0,0.0,continuum
pp,10.02,0.0,continuum
pp,10.04,0.0,continuum
pp,10.06,0.0,continuum
pp,10.08,0.0,continuum
pp,10.1,0.0,continuum
pp,10.12,0.0,continuum
pp,10.14,0.0,continuum
pp,10.16,0.0,continuum
pp,10.18,0.0,continuum
pp,10.2,0.0,continuum
pp,10.22,0.0,continuum
pp,10.24,0.0,continuum
pp,10.26,0.0,continuum
pp,10.28,0.0,continuum
pp,10.299999999999999,0.0,continuum
pp,10.32,0.0,continuum
pp,10.34,0.0,continuum
pp,10.36,0.0,continuum
pp,10.379999999999999,0.0,continuum
pp,10.4,0.0,continuum
pp,10.42,0.0,continuum
pp,10.44,0.0,continuum
pp,10.459999999999999,0.0,continuum
pp,10.48,0.0,continuum
pp,10.5,0.0,continuum
pp,10.52,0.0,continuum
pp,10.54,0.0,continuum
pp,10.56,0.0,continuum
pp,10.58,0.0,continuum
pp,10.6,0.0,continuum
pp,10.62,0.0,continuum
pp,10.64,0.0,continuum
pp,10.66,0.0,continuum
pp,10.68,0.0,continuum
pp,10.7,0.0,continuum
pp,10.72,0.0,continuum
pp,10.74,0.0,continuum
pp,10.76,0.0,continuum
pp,10.78,0.0,continuum
pp,10.799999999999999,0.0,continuum
pp,10.82,0.0,continuum
pp,10.84,0.0,continuum
pp,10.86,0.0,continuum
pp,10.879999999999999,0.0,continuum
pp,10.9,0.0,continuum
pp,10.92,0.0,continuum
pp,10.94,0.0,continuum
pp,10.959999999999999,0.0,continuum
pp,10.98,0.0,continuum
pp,11.0,0.0,continuum
pp,11.02,0.0,continuum
pp,11.04,0.0,continuum
pp,11.06,0.0,continuum
pp,11.08,0.0,continuum
pp,11.1,0.0,continuum
pp,11.12,0.0,continuum
pp,11.14,0.0,continuum
pp,11.16,0.0,continuum
pp,11.18,0.0,continuum
pp,11.2,0.0,continuum
pp,11.22,0.0,continuum
pp,11.24,0.0,continuum
pp,11.26,0.0,continuum
pp,11.28,0.0,continuum
pp,11.299999999999999,0.0,continuum
pp,11.32,0.0,continuum
pp,11.34,0.0,continuum
pp,11.36,0.0,continuum
pp,11.379999999999999,0.0,continuum
pp,11.4,0.0,continuum
pp,11.42,0.0,continuum
pp,11.44,0.0,continuum
pp,11.459999999999999,0.0,continuum
pp,11.48,0.0,continuum
pp,11.5,0.0,continuum
pp,11.52,0.0,continuum
pp,11.54,0.0,continuum
pp,11.56,0.0,continuum
pp,11.58,0.0,continuum
pp,11.6,0.0,continuum
pp,11.62,0.0,continuum
pp,11.64,0.0,continuum
pp,11.66,0.0,continuum
pp,11.68,0.0,continuum
pp,11.7,0.0,continuum
pp,11.72,0.0,continuum
pp,11.74,0.0,continuum
pp,11.76,0.0,continuum
pp,11.78,0.0,continuum
pp,11.799999999999999,0.0,continuum
pp,11.82,0.0,continuum
pp,11.84,0.0,continuum
pp,11.86,0.0,continuum
pp,11.879999999999999,0.0,continuum
