E_MeV,Pee_vacuum,Pee_day,Pee_night_reference,delta_Pee_earth_reference,sin2theta12_reference,dm21_eV2_reference
6.25,0.54955050971648,0.34990968495724223,0.3590671198233966,0.00915743486615439,0.307,7.42e-05
6.3,0.54955050971648,0.34915842966400723,0.3583870446525065,0.00922861498849925,0.307,7.42e-05
6.3500000000000005,0.54955050971648,0.34841958745849316,0.35771816761111036,0.009298580152617197,0.307,7.42e-05
6.4,0.54955050971648,0.347692955039702,0.35706025841712535,0.009367303377423364,0.307,7.42e-05
6.45,0.54955050971648,0.3469783309027979,0.35641308907026764,0.009434758167469748,0.307,7.42e-05
6.5,0.54955050971648,0.3462755154338096,0.35577643396377534,0.009500918529965763,0.307,7.42e-05
6.55,0.54955050971648,0.3455843109960133,0.3551500699874889,0.009565758991475604,0.307,7.42e-05
6.6000000000000005,0.54955050971648,0.34490452200839783,0.3545337766226747,0.009629254614276883,0.307,7.42e-05
6.65,0.54955050971648,0.34423595501660365,0.35392733602896986,0.009691381012366218,0.307,7.42e-05
6.7,0.54955050971648,0.3435784187567152,0.3533305331238122,0.009752114367096998,0.307,7.42e-05
6.75,0.54955050971648,0.34293172421227813,0.3527431556547134,0.009811431442435292,0.307,7.42e-05
6.8,0.54955050971648,0.34229568466489924,0.3521649942647197,0.009869309599820464,0.307,7.42e-05
6.8500000000000005,0.54955050971648,0.34167011573877565,0.3515958425513928,0.009925726812617164,0.307,7.42e-05
6.9,0.54955050971648,0.3410548354394914,0.35103549711963633,0.009980661680144942,0.307,7.42e-05
6.95,0.54955050971648,0.34044966418740236,0.3504837576286767,0.010034093441274317,0.307,7.42e-05
7.0,0.54955050971648,0.3398544248459241,0.34994042683349963,0.010086001987575532,0.307,7.42e-05
7.05,0.54955050971648,0.3392689427450216,0.34940531062103125,0.010136367876009633,0.307,7.42e-05
7.1000000000000005,0.54955050971648,0.3386930457001905,0.3488782180413402,0.01018517234114974,0.307,7.42e-05
7.15,0.54955050971648,0.33812656402720576,0.3483589613341277,0.010232397306921936,0.307,7.42e-05
7.2,0.54955050971648,0.3375693305529051,0.3478473559507608,0.010278025397855661,0.307,7.42e-05
7.25,0.54955050971648,0.33702118062225994,0.34734322057209277,0.010322039949832829,0.307,7.42e-05
7.3,0.54955050971648,0.336481952101977,0.34684637712230454,0.010364425020327528,0.307,7.42e-05
7.3500000000000005,0.54955050971648,0.3359514853808652,0.3463566507789916,0.01040516539812636,0.307,7.42e-05
7.4,0.54955050971648,0.33542962336718574,0.3458738699797072,0.010444246612521468,0.307,7.42e-05
7.45,0.54955050971648,0.33491621148319994,0.34539786642516807,0.010481654941968122,0.307,7.42e-05
7.5,0.54955050971648,0.3344110976571143,0.3449284750793142,0.01051737742219988,0.307,7.42e-05
7.55,0.54955050971648,0.3339141323126148,0.34446553416640896,0.010551401853794162,0.307,7.42e-05
7.6000000000000005,0.54955050971648,0.3334251683561717,0.34400888516535366,0.010583716809181964,0.307,7.42e-05
7.65,0.54955050971648,0.3329440611622881,0.34355837280138435,0.010614311639096263,0.307,7.42e-05
7.7,0.54955050971648,0.3324706685568561,0.3431138450353096,0.010643176478453531,0.307,7.42e-05
7.75,0.54955050971648,0.3320048507987742,0.3426751530504384,0.01067030225166421,0.307,7.42e-05
7.8,0.54955050971648,0.3315464705599752,0.34224215123734286,0.010695680677367647,0.307,7.42e-05
7.8500000000000005,0.54955050971648,0.33109539290400125,0.34181469717658963,0.010719304272588381,0.307,7.42e-05
7.9,0.54955050971648,0.33065148526325866,0.341392651619569,0.010741166356310339,0.307,7.42e-05
7.95,0.54955050971648,0.3302146174150753,0.340975878467543,0.010761261052467719,0.307,7.42e-05
8.0,0.54955050971648,0.32978466145667906,0.34056424474902836,0.010779583292349293,0.307,7.42e-05
8.05,0.54955050971648,0.32936149177920454,0.34015762059562066,0.010796128816416117,0.307,7.42e-05
8.100000000000001,0.54955050971648,0.328944985040835,0.33975587921636685,0.010810894175531827,0.307,7.42e-05
8.15,0.54955050971648,0.3285350201391739,0.33935889687077886,0.010823876731604953,0.307,7.42e-05
8.200000000000001,0.54955050971648,0.32813147818293903,0.3389665528405838,0.010835074657644772,0.307,7.42e-05
8.250000000000002,0.54955050971648,0.32773424246306565,0.3385787294002964,0.010844486937230724,0.307,7.42e-05
8.3,0.54955050971648,0.32734319842329707,0.3381953117866952,0.010852113363398141,0.307,7.42e-05
8.350000000000001,0.54955050971648,0.32695823363034016,0.3378161881672822,0.01085795453694205,0.307,7.42e-05
8.4,0.54955050971648,0.32657923774365444,0.33744124960779615,0.010862011864141707,0.307,7.42e-05
8.450000000000001,0.54955050971648,0.3262061024849423,0.3370703900388524,0.010864287553910112,0.307,7.42e-05
8.500000000000002,0.54955050971648,0.32583872160740024,0.33670350622177175,0.010864784614371514,0.307,7.42e-05
8.55,0.54955050971648,0.3254769908647899,0.33634049771366176,0.010863506848871884,0.307,7.42e-05
8.600000000000001,0.54955050971648,0.32512080798037996,0.33598126683180773,0.010860458851427779,0.307,7.42e-05
8.65,0.54955050971648,0.32477007261581203,0.33562571861743057,0.010855646001618535,0.307,7.42e-05
8.700000000000001,0.54955050971648,0.3244246863399325,0.33527376079886084,0.010849074458928354,0.307,7.42e-05
8.750000000000002,0.54955050971648,0.32408455259763563,0.3349253037541806,0.010840751156544981,0.307,7.42e-05
8.8,0.54955050971648,0.3237495766787571,0.3345802604733788,0.01083068379462171,0.307,7.42e-05
8.850000000000001,0.54955050971648,0.3234196656870528,0.3342385465200642,0.010818880833011357,0.307,7.42e-05
8.9,0.54955050971648,0.32309472850929905,0.33390007999277815,0.010805351483479109,0.307,7.42e-05
8.950000000000001,0.54955050971648,0.3227746757845425,0.3335647814859462,0.010790105701403707,0.307,7.42e-05
9.000000000000002,0.54955050971648,0.32245941987353033,0.33323257405050677,0.01077315417697644,0.307,7.42e-05
9.05,0.54955050971648,0.3221488748283454,0.33290338315425166,0.010754508325906242,0.307,7.42e-05
9.100000000000001,0.54955050971648,0.3218429563622708,0.3325771366419132,0.010734180279642402,0.307,7.42e-05
9.15,0.54955050971648,0.321541581819905,0.3322537646950293,0.010712182875124321,0.307,7.42e-05
9.200000000000001,0.54955050971648,0.3212446701475482,0.33193319979161795,0.010688529644069744,0.307,7.42e-05
9.250000000000002,0.54955050971648,0.32095214186387616,0.3316153766656886,0.010663234801812416,0.307,7.42e-05
9.3,0.54955050971648,0.3206639190309196,0.3313002322666207,0.010636313235701078,0.307,7.42e-05
9.350000000000001,0.54955050971648,0.32037992522536196,0.3309877057184338,0.010607780493071817,0.307,7.42e-05
9.4,0.54955050971648,0.3201000855101689,0.330677738278975,0.010577652768806123,0.307,7.42e-05
9.450000000000001,0.54955050971648,0.3198243264065617,0.33037027329904933,0.010545946892487612,0.307,7.42e-05
9.500000000000002,0.54955050971648,0.3195525758663443,0.3300652561815143,0.010512680315169998,0.307,7.42e-05
9.55,0.54955050971648,0.3192847632445916,0.3297626343403619,0.010477871095770308,0.307,7.42e-05
9.600000000000001,0.54955050971648,0.31902081927270914,0.3294623571598102,0.01044153788710106,0.307,7.42e-05
9.650000000000002,0.54955050971648,0.31876067603186886,0.32916437595342335,0.010403699921554488,0.307,7.42e-05
9.700000000000001,0.54955050971648,0.31850426692682743,0.3288686439232816,0.01036437699645415,0.307,7.42e-05
9.750000000000002,0.54955050971648,0.31825152666013085,0.328575116119219,0.010323589459088178,0.307,7.42e-05
9.8,0.54955050971648,0.3180023912067108,0.3282837493981487,0.010281358191437884,0.307,7.42e-05
9.850000000000001,0.54955050971648,0.3177567977888736,0.32799450238349176,0.010237704594618147,0.307,7.42e-05
