r_over_Rsun,ne_cm3,ne_over_ne0
0.84,4.434235791817377e+23,0.007390392986362295
0.842,4.407762212932884e+23,0.00734627035488814
0.844,4.381464632377965e+23,0.007302441053963275
0.846,4.3553415233321856e+23,0.007258902538886976
0.848,4.3293913785908426e+23,0.007215652297651404
0.85,4.3036127102257953e+23,0.007172687850376325
0.852,4.278004049252954e+23,0.007130006748754924
0.854,4.252563945306302e+23,0.007087606575510503
0.856,4.2272909663183314e+23,0.007045484943863886
0.858,4.202183698206731e+23,0.0070036394970112185
0.86,4.177240744567221e+23,0.006962067907612035
0.862,4.152460726372403e+23,0.006920767877287338
0.864,4.1278422816765015e+23,0.006879737136127502
0.866,4.103384065325873e+23,0.006838973442209788
0.868,4.0790847486751644e+23,0.006798474581125274
0.87,4.0549430193090256e+23,0.0067582383655150425
0.872,4.030957580769221e+23,0.006718262634615369
0.874,4.007127152287078e+23,0.006678545253811796
0.876,3.983450468521119e+23,0.006639084114201865
0.878,3.959926279299807e+23,0.006599877132166345
0.88,3.9365533493692786e+23,0.006560922248948798
0.882,3.91333045814597e+23,0.006522217430243283
0.884,3.890256399474029e+23,0.006483760665790049
0.886,3.867329981387439e+23,0.006445549968979065
0.888,3.8445500258767205e+23,0.0064075833764612004
0.89,3.8219153686601516e+23,0.00636985894776692
0.892,3.7994248589593956e+23,0.006332374764932326
0.894,3.7770773592794525e+23,0.00629512893213242
0.896,3.7548717451928526e+23,0.006258119575321421
0.898,3.732806905127979e+23,0.006221344841879965
0.9,3.710881740161481e+23,0.006184802900269135
0.902,3.689095163814655e+23,0.006148491939691091
0.904,3.667446101853719e+23,0.006112410169756198
0.906,3.645933492093928e+23,0.006076555820156547
0.908,3.624556284207411e+23,0.006040927140345685
0.91,3.603313439534698e+23,0.006005522399224496
0.912,3.582203930899814e+23,0.0059703398848330235
0.914,3.561226742428928e+23,0.0059353779040482125
0.916,3.5403808693724124e+23,0.005900634782287354
0.918,3.5196653179303094e+23,0.005866108863217182
0.92,3.499079105081093e+23,0.005831798508468489
0.922,3.478621258413686e+23,0.005797702097356143
0.924,3.4582908159626395e+23,0.005763818026604399
0.926,3.438086826046432e+23,0.005730144710077386
0.928,3.41800834710883e+23,0.005696680578514717
0.93,3.39805444756322e+23,0.005663424079272034
0.932,3.378224205639876e+23,0.005630373676066459
0.934,3.358516709236091e+23,0.005597527848726818
0.936,3.3389310557691324e+23,0.005564885092948554
0.9380000000000001,3.319466352031935e+23,0.005532443920053224
0.9400000000000001,3.3001217140514944e+23,0.00550020285675249
0.9420000000000001,3.2808962669499255e+23,0.0054681604449165425
0.9440000000000001,3.2617891448080776e+23,0.005436315241346796
0.9460000000000001,3.242799490531714e+23,0.005404665817552857
0.9480000000000001,3.223926455720172e+23,0.00537321075953362
0.9500000000000001,3.20516920053745e+23,0.005341948667562417
0.9520000000000001,3.186526893585699e+23,0.005310878155976165
0.9540000000000001,3.167998711781036e+23,0.005279997852968394
0.9560000000000001,3.1495838402316695e+23,0.005249306400386115
0.9580000000000001,3.1312814721182575e+23,0.005218802453530429
0.96,3.113090808576473e+23,0.005188484680960788
0.962,3.095011058581718e+23,0.0051583517643028634
0.964,3.0770414388359705e+23,0.005128402398059951
0.966,3.059181173656688e+23,0.005098635289427814
0.968,3.0414294948677416e+23,0.005069049158112903
0.97,3.0237856416923474e+23,0.0050396427361539126
0.972,3.006248860647935e+23,0.0050104147677465585
0.974,2.988818405442948e+23,0.00498136400907158
0.976,2.971493536875493e+23,0.004952489228125821
0.978,2.9542735227338394e+23,0.004923789204556399
0.98,2.9371576376987116e+23,0.004895262729497853
0.982,2.9201451632473426e+23,0.004866908605412237
0.984,2.903235387559261e+23,0.0048387256459321015
0.986,2.88642760542376e+23,0.004810712675706266
0.988,2.8697211181490403e+23,0.004782868530248401
0.99,2.853115233472969e+23,0.004755192055788281
0.992,2.8366092654754275e+23,0.004727682109125712
0.994,2.8202025344922375e+23,0.004700337557487062
0.996,2.8038943670306044e+23,0.004673157278384341
0.998,2.7876840956860658e+23,0.004646140159476776
1.0,2.7715710590609098e+23,0.0046192850984348496
