source,E_MeV,spectrum_per_MeV,flux_cm2_s,flux_per_MeV_cm2_s
13N,1.1331,0.5485524465793209,204000000.0,111904699.10218146
13N,1.1391,0.5147822959622693,204000000.0,105015588.37630294
13N,1.145,0.4794721384766876,204000000.0,97812316.24924427
13N,1.151,0.44236197296295393,204000000.0,90241842.4844426
13N,1.157,0.4031617981276438,204000000.0,82245006.81803933
13N,1.163,0.36144161205292086,204000000.0,73734088.85879585
13N,1.169,0.3166214121519362,204000000.0,64590768.07899498
13N,1.175,0.2678111944552145,204000000.0,54633483.66886376
13N,1.181,0.21363095280783942,204000000.0,43580714.37279924
13N,1.187,0.1516506763718057,204000000.0,30936737.979848366
13N,1.193,0.07720734434973954,204000000.0,15750298.247346867
13N,1.199,0.0,204000000.0,0.0
15O,0.003464,4.0645998032395844e-05,144000000.0,5853.023716665001
15O,0.006928,0.00016205999215494933,144000000.0,23336.638870312705
15O,0.010392,0.0003634799824045476,144000000.0,52341.11746625486
15O,0.013856,0.0006441199688192395,144000000.0,92753.2755099705
15O,0.01732,0.001003199951436784,144000000.0,144460.79300689689
15O,0.020784,0.0014399999302920341,144000000.0,207359.9899620529
15O,0.024248,0.0019536999054246855,144000000.0,281332.7863811547
15O,0.027712,0.0025435998768686234,144000000.0,366278.3822690818
15O,0.031176,0.003208799844667416,144000000.0,462067.17763210787
15O,0.03464,0.0039486998088501075,144000000.0,568612.7724744155
15O,0.038104,0.0047624997694554255,144000000.0,685799.9668015813
15O,0.041568,0.005649399726522095,144000000.0,813513.5606191817
15O,0.045032,0.006608699680084004,144000000.0,951652.7539320965
15O,0.048496,0.007639599630179877,144000000.0,1100102.3467459024
15O,0.05196,0.008741299576848443,144000000.0,1258747.1390661758
15O,0.055424,0.009913299520113904,144000000.0,1427515.130896402
15O,0.058888,0.011154999460005305,144000000.0,1606319.922240764
15O,0.062352,0.01246499939659042,144000000.0,1794959.9131090203
15O,0.065816,0.013841999329932178,144000000.0,1993247.9035102336
15O,0.06928,0.01528799925993376,144000000.0,2201471.8934304616
15O,0.072744,0.01679899918678881,144000000.0,2419055.8828975884
15O,0.076208,0.0183759991104489,144000000.0,2646143.871904642
15O,0.079672,0.020018999030914048,144000000.0,2882735.860451623
15O,0.083136,0.021724998948329473,144000000.0,3128399.8485594443
15O,0.0866,0.023494998862646763,144000000.0,3383279.836221134
15O,0.090064,0.025327998773914333,144000000.0,3647231.823443664
15O,0.093528,0.027222998682180585,144000000.0,3920111.810234004
15O,0.096992,0.029178998587493933,144000000.0,4201775.796599126
15O,0.10046,0.03119599848985437,144000000.0,4492223.78253903
15O,0.10392,0.03327299838931031,144000000.0,4791311.768060685
15O,0.10738,0.03540999828586175,144000000.0,5099039.753164092
15O,0.11085,0.03760499817960551,144000000.0,5415119.737863193
15O,0.11431,0.03985699807059,144000000.0,5739407.72216496
15O,0.11778,0.04216699795876681,144000000.0,6072047.70606242
15O,0.12124,0.04453299784423275,144000000.0,6412751.689569516
15O,0.1247,0.04695599772693941,144000000.0,6761663.672679275
15O,0.12817,0.04943299760703203,144000000.0,7118351.6554126125
15O,0.13163,0.051963997484510596,144000000.0,7482815.637769526
15O,0.1351,0.054548997359375115,144000000.0,7855055.619750016
15O,0.13856,0.05718799723162559,144000000.0,8235071.601354085
15O,0.14202,0.05987799710140723,144000000.0,8622431.58260264
15O,0.14549,0.06261999696867164,144000000.0,9017279.563488716
15O,0.14895,0.06541299683346724,144000000.0,9419471.544019282
15O,0.15242,0.068256996695794,144000000.0,9829007.524194337
15O,0.15588,0.07114899655579718,144000000.0,10245455.504034793
15O,0.15934,0.07409099641337993,144000000.0,10669103.48352671
15O,0.16281,0.07708099626863908,144000000.0,11099663.462684028
15O,0.16627,0.08011899612157464,144000000.0,11537135.441506747
15O,0.16974,0.083203995972235,144000000.0,11981375.42000184
