E_MeV,sigma_nue_cm2,sigma_nux_cm2,sigma_mass_1_cm2,sigma_mass_2_cm2,sigma_mass_3_cm2,Ue1_abs2,Ue2_abs2,Ue3_abs2
7.269251336898395,6.616867729690579e-44,1.1220856834017182e-44,4.844673040818948e-44,2.771197254436479e-44,1.2451688012385888e-44,0.6774768000000001,0.3001232,0.0224
7.36951871657754,6.706748089522197e-44,1.1368689551439067e-44,4.910332847489281e-44,2.808518904566749e-44,1.2616342477539806e-44,0.6774768000000001,0.3001232,0.0224
7.469786096256684,6.824943029475292e-44,1.155786089502017e-44,4.996508391892904e-44,2.8572316116290044e-44,1.2827752049574186e-44,0.6774768000000001,0.3001232,0.0224
7.570053475935828,6.914828980479387e-44,1.1705673889409357e-44,5.062171350339314e-44,2.8945535594305486e-44,1.299238848591397e-44,0.6774768000000001,0.3001232,0.0224
7.670320855614973,7.00471343523586e-44,1.1853492303666205e-44,5.127833469915978e-44,2.9318754374974317e-44,1.3157029885556915e-44,0.6774768000000001,0.3001232,0.0224
7.770588235294118,7.09459645241645e-44,1.2001315924198297e-44,5.193494783482789e-44,2.969197248489567e-44,1.332167605283754e-44,0.6774768000000001,0.3001232,0.0224
7.870855614973261,7.184478087665403e-44,1.2149144548487636e-44,5.259155322205756e-44,3.006518994933318e-44,1.3486326802238564e-44,0.6774768000000001,0.3001232,0.0224
7.971122994652406,7.302710656047451e-44,1.2338172451799904e-44,5.345351732715563e-44,3.055232956108447e-44,1.3697604575834214e-44,0.6774768000000001,0.3001232,0.0224
8.071390374331552,7.392597015559958e-44,1.2485984478595743e-44,5.411014936709814e-44,3.09255495879323e-44,1.386224015776063e-44,0.6774768000000001,0.3001232,0.0224
8.171657754010695,7.482481959427168e-44,1.2633801626645392e-44,5.476677346809536e-44,3.1298768950346884e-44,1.4026880429120222e-44,0.6774768000000001,0.3001232,0.0224
8.271925133689841,7.572365539833056e-44,1.2781623706011384e-44,5.542338992242237e-44,3.167198767201163e-44,1.4191525215919332e-44,0.6774768000000001,0.3001232,0.0224
