T_e_MeV,epsilon_sk_like,background_sk_shape
6.65,0.9978558318550271,0.2962159094719497
6.7,0.9981407373209626,0.291319891133471
6.75,0.9983878472514738,0.2865047968601901
6.800000000000001,0.9986021604165112,0.2817692890949583
6.8500000000000005,0.9987880182280601,0.2771120523885023
6.9,0.9989491902477217,0.2725317930340126
6.95,0.9990889488055994,0.26802723870777256
7.0,0.9992101340582635,0.26359713811572677
7.050000000000001,0.9993152106666947,0.25924026064589145
7.1000000000000005,0.9994063171404907,0.2549553960265099
7.15,0.9994853087723946,0.250741353989858
7.2,0.9995537949770634,0.24659696394160643
7.25,0.9996131717493575,0.24252107463564868
7.300000000000001,0.9996646498695336,0.23851255385430237
7.3500000000000005,0.9997092794047221,0.23457028809379762
7.4,0.9997479709870919,0.2306931822549628
7.45,0.9997815142882804,0.22688015933902364
7.5,0.9998105940561749,0.22313016014842982
7.550000000000001,0.9998358040331602,0.2194421429926266
7.6000000000000005,0.9998576590338137,0.21581508339868974
7.65,0.9998766054240137,0.21224797382674304
7.7,0.9998930302119844,0.20873982339007963
7.75,0.9999072689343341,0.20528965757990927
7.800000000000001,0.9999196124962059,0.20189651799465536
7.8500000000000005,0.9999303131038008,0.19855946207372607
7.9,0.9999395894093617,0.1952775628356857
7.95,0.999947630972914,0.19204990862075408
8.0,0.9999546021312976,0.18887560283756183
8.05,0.9999606453530879,0.18575376371409133
8.1,0.9999658841476075,0.18268352405273466
8.15,0.9999704255872154,0.17966403098939934
8.200000000000001,0.9999743624942238,0.17669444575659668
8.25,0.999977775336987,0.17377394345044514
8.3,0.9999807338738039,0.17090171280152477
8.35,0.999983298578152,0.16807695594952016
8.4,0.9999855218743159,0.16529888822158653
8.450000000000001,0.9999874492086248,0.1625667379143807
8.5,0.9999891199781543,0.1598797460796939
8.55,0.9999905683358526,0.15723716631362758
8.6,0.9999918238885269,0.15463826454925483
8.65,0.9999929123019438,0.15208231885270748
8.700000000000001,0.9999938558253978,0.149568619222635
8.75,0.9999946737464687,0.1470964673929768
