source,r_over_Rsun,production_density_norm,shell_fraction_per_Rsun,cumulative_fraction
pp,0.47000000000000003,0.0010940145945107526,0.0935160966656659,0.996553994518383
pp,0.47200000000000003,0.001032213882701935,0.0889859072727444,0.9967364965223214
pp,0.47400000000000003,0.0009736638428428859,0.08465122860679646,0.996910133658201
pp,0.47600000000000003,0.0009182081778892839,0.08050495313820895,0.997075289839946
pp,0.47800000000000004,0.0008656972480311363,0.07654016072134552,0.9972323349538055
pp,0.48,0.0008159878350721483,0.07275011742807015,0.9973816252319548
pp,0.482,0.0007689429125573428,0.0691282741546356,0.9975235036235376
pp,0.484,0.0007244314216509018,0.06566826501687921,0.9976583001627091
pp,0.486,0.000682328052756376,0.06236390554828224,0.9977863323332742
pp,0.488,0.0006425130328622496,0.05920919071505433,0.9979079054295376
pp,0.49,0.0006048719185872672,0.05619829276200356,0.9980233129130146
pp,0.492,0.0005692953948917906,0.05332555890252994,0.9981328367646791
pp,0.494,0.0005356790794139498,0.050585508865660135,0.9982367478324473
pp,0.496,0.0005039233323823339,0.047972832312611575,0.9983353061736255
pp,0.498,0.0004739330720504314,0.045482386134936915,0.998428761392073
pp,0.5,0.0004456175955920163,0.043109191645863416,0.9985173529698539
pp,0.502,0.0004188904053911133,0.04084843167600052,0.9986013105931758
pp,0.504,0.0003936690406550776,0.03869544758414775,0.9986808544724359
pp,0.506,0.0003698749142746557,0.03664573619349336,0.9987561956562135
pp,0.508,0.0003474331548506803,0.03469494666305658,0.9988275363390701
pp,0.51,0.0003262724538031984,0.03283887730378708,0.9988950701630369
pp,0.512,0.00030632491747541266,0.031073472348303367,0.998958982512689
pp,0.514,0.0002875259241417494,0.02939481868282216,0.9990194508037201
pp,0.516,0.00026981398582666877,0.027799142549407664,0.9990766447649524
pp,0.518,0.00025313061483846466,0.026282806226250892,0.999130726713728
pp,0.52,0.0002374201949202869,0.024842304693280047,0.9991818518246476
pp,0.522,0.0002226298569188886,0.02347426228999844,0.9992301683916308
pp,0.524,0.00020870935887017146,0.0221754293720506,0.9992758180832929
pp,0.526,0.0001956109703994829,0.0209426789726324,0.9993189361916376
pp,0.528,0.00018328936133371916,0.019773003474481594,0.9993596518740847
pp,0.53,0.00017170149442167847,0.018663511297817754,0.999398088388857
pp,0.532,0.00016080652205871496,0.017611423609242262,0.9994343633237641
pp,0.534,0.00015056568691158243,0.01661407105626091,0.9994685888184296
pp,0.536,0.00014094222633940096,0.01566889053175401,0.9995008717800176
pp,0.538,0.0001319012805069199,0.01477342197239191,0.9995313140925217
pp,0.54,0.0001234098040866791,0.013925305194678241,0.9995600128196888
pp,0.542,0.00011543648144725597,0.013122276771997165,0.9995870604016555
pp,0.544,0.00010795164522555133,0.012362166955748276,0.9996125448453832
pp,0.546,0.00010092719818195956,0.011642896643369403,0.9996365499089823
pp,0.548,9.433653823830167e-05,0.010962474395775608,0.9996591552800215
pp,0.55,8.815448659956889e-05,0.010318993506483602,0.9996804367479237
pp,0.552,8.235721886178725e-05,0.009710629124440292,0.9997004663705547
pp,0.554,7.69221990096988e-05,0.009135635432337148,0.9997193126351114
pp,0.556,7.182811620942174e-05,0.00859234288196448,0.9997370406134257
pp,0.558,6.705482430281089e-05,0.008079155487943876,0.9997537121117956
pp,0.56,6.258328391186549e-05,0.007594548180971056,0.9997693858154646
pp,0.562,5.839550706324051e-05,0.007137064221507631,0.9997841174278671
pp,0.5640000000000001,5.447450424466366e-05,0.006705312674674469,0.9997979598047633
pp,0.5660000000000001,5.0804233806879636e-05,0.006297965946926261,0.9998109630833849
pp,0.5680000000000001,4.736955362659141e-05,0.005913757384921948,0.9998231748067168
pp,0.5700000000000001,4.415617494776041e-05,0.005551478936851283,0.9998346400430386
pp,0.5720000000000001,4.115061832055068e-05,0.005209978876332968,0.9998454015008518
pp,0.5740000000000001,3.8340171559145724e-05,0.00488815958886375,0.999855499639317
pp,0.5760000000000001,3.571284964163508e-05,0.004584975420671502,0.9998649727743265
pp,0.578,3.325735647714001e-05,0.004299430589706559,0.9998738571803368
pp,0.58,3.0963048467339925e-05,0.004030577158396752,0.999882187188085
pp,0.582,2.881989979154865e-05,0.003777513067689874,0.999889995278311
pp,0.584,2.6818469346472182e-05,0.0035393802318130878,0.9998973121716105
pp,0.586,2.4949869273772187e-05,0.003315362693093992,0.9999041669145354
pp,0.588,2.320573501052371e-05,0.003104684836108259,0.9999105869620646
pp,0.59,2.1578196799622008e-05,0.0029066096603477974,0.9999165982565611
pp,0.592,2.005985259913389e-05,0.002720437110537927,0.999922225303332
pp,0.594,1.864374233151685e-05,0.002545502463673861,0.9999274912429061
pp,0.596,1.732332341552997e-05,0.0023811747717940534,0.9999324179201416
pp,0.598,1.6092447525540505e-05,0.002226855359461581,0.9999370259502729
pp,0.6,1.4945338524781425e-05,0.0020819763748836525,0.9999413347820072
pp,0.602,1.3876571520936661e-05,0.001945999393563453,0.9999453627577757
pp,0.604,1.2881052994224888e-05,0.0018184140733480806,0.9999491271712426
pp,0.606,1.1954001949909939e-05,0.0016987368597100364,0.9999526443221757
pp,0.608,1.1090932048892915e-05,0.001586509740078409,0.9999559295687754
pp,0.61,1.0287634671730527e-05,0.001481299046018461,0.9999589973775616
pp,0.612,9.540162873079248e-06,0.0013826943020451127,0.9999618613709096
pp,0.614,8.844816185180594e-06,0.0012903071198460496,0.9999645343723315
pp,0.616,8.198126230582873e-06,0.0012037701366841862,0.999967028449588
pp,0.618,7.596843105834237e-06,0.001122735996746233,0.9999693549557214
pp,0.62,7.037922499383105e-06,0.0010468763742042615,0.9999715245680924
pp,0.622,6.51851350838441e-06,0.0009758810367602065,0.9999735473255034
pp,0.624,6.035947120531101e-06,0.0009094569484486773,0.9999754326634885
pp,0.626,5.587725328413099e-06,0.0008473274104814858,0.9999771894478474
pp,0.628,5.1715108452478315e-06,0.0007892312389274339,0.9999788260064968
pp,0.63,4.785117392129009e-06,0.0007349219780331137,0.9999803501597138
pp,0.632,4.4265005282027925e-06,0.0006841671480044687,0.9999817692488397
pp,0.634,4.093748996404199e-06,0.0006367475260846389,0.9999830901635138
pp,0.636,3.785076558570378e-06,0.0005924564597807748,0.9999843193674997
pp,0.638,3.498814294893108e-06,0.0005510992111111237,0.9999854629231706
pp,0.64,3.2334033437800743e-06,0.0005124923307634936,0.9999865265147124
pp,0.642,2.9873880592639007e-06,0.00047646306107706387,0.9999875154701042
pp,0.644,2.7594095641300426e-06,0.00044284876678131013,0.9999884347819321
pp,0.646,2.5481996779304886e-06,0.0004114963924484697,0.9999892891270914
pp,0.648,2.352575200009771e-06,0.0003822619456392844,0.9999900828854295
pp,0.65,2.1714325285941694e-06,0.00035501000474566844,0.9999908201573798
pp,0.652,2.0037425978849595e-06,0.00032961325055836646,0.9999915047806351
pp,0.654,1.848546115952477e-06,0.0003059520206124367,0.9999921403459063
pp,0.656,1.70494908705069e-06,0.0002839138853884613,0.9999927302118123
pp,0.658,1.572118602762846e-06,0.0002633932454727021,0.9999932775189432
pp,0.66,1.4492788871477585e-06,0.0002442909488047983,0.9999937852031374
pp,0.662,1.335707581785037e-06,0.0002265139271670948,0.9999942560080134
pp,0.664,1.230732257316141e-06,0.00020997485109512594,0.9999946924967916
pp,0.666,1.1337271387479642e-06,0.00019459180241416623,0.9999950970634451
pp,0.668,1.0441100324271348e-06,0.00018028796363199462,0.9999954719432111
pp,0.67,9.613394432074386e-07,0.00016699132344306962,0.9999958192224983
pp,0.672,8.84911870920496e-07,0.0001546343976241309,0.9999961408482193
pp,0.674,8.143592758217888e-07,0.00014315396462576428,0.9999964386365816
pp,0.676,7.492467032214168e-07,0.00013249081518869124,0.9999967142813614
pp,0.678,6.891700580220654e-07,0.00012258951533738807,0.9999969693616919
pp,0.68,6.33754020376616e-07,0.00011339818212709772,0.9999972053493894
pp,0.682,5.826500941454434e-07,0.0001048682715433545,0.9999974236158431
pp,0.684,5.355347802793099e-07,9.6954377975727e-05,0.9999976254384926
pp,0.686,4.92107867678913e-07,8.961404470962753e-05,0.9999978120069153
pp,0.6880000000000001,4.520908344871701e-07,8.280758490168376e-05,0.9999979844285449
pp,0.6900000000000001,4.1522535315603016e-07,7.649791252531365e-05,0.9999981437340424
pp,0.6920000000000001,3.8127189299673883e-07,7.065038279377729e-05,0.9999982908823377
pp,0.6940000000000001,3.500084142718149e-07,6.523264158809588e-05,0.9999984267653621
pp,0.6960000000000001,3.212291482190657e-07,6.021448343678903e-05,0.9999985522124871
pp,0.6980000000000001,2.947434577137033e-07,5.556771761342611e-05,0.9999986679946882
pp,0.7000000000000001,2.7037477357447787e-07,5.126604193646953e-05,0.9999987748284477
